uid,event,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
21,2,0.5236256025829357,1.5661866845548795,0.10064495102245988,0.319356662107116,0.10198867763219865,1.6991642638966509,3.7712124876533055,0.5423772108944106,0.6329070396450364,0.40057132083224356,0.3484031326595058,0.7273238618387273,0.03,2,19,166,50,2,1,3,4,3,4,3,1,0
21,3,0.5587852806657424,1.4981530556496412,0.10656854249492388,0.377532589915412,0.14253085644823862,1.6904589515381152,3.483589235101837,0.9657009269909804,0.6170836880073234,0.38079227800471965,0.3686494014053019,0.6860029154456999,0.11661903789690604,2,19,166,50,2,1,3,4,3,4,3,1,0
21,4,0.572599838168659,1.6071677655760683,0.10000000000000003,0.3717871969498622,0.13822571981583562,1.8175613236506212,3.84364132493773,0.7036739629996261,0.7093059063730379,0.5031148688156768,0.3602672873341807,0.7308214556237386,0.12529964086141668,2,19,166,50,2,1,3,4,3,4,3,1,0
22,1,0.9590914351567154,3.6802735233653054,0.10292528739883954,0.7893840584478852,0.6231271917316542,1.5793033554278526,3.9610853794955347,0.4652752583657084,0.6784512051132855,0.46029603771966937,0.4819372911759746,0.8305419917138447,0.04242640687119285,2,19,174,79,2,2,2,1,2,3,2,1,0
22,2,0.9309402330458405,4.079131299976781,0.1007106781186547,0.7988221930672311,0.6381168961367407,1.58027018418479,3.2567644569217973,0.40262953848976096,0.6511494962634801,0.4239956664841838,0.46492828883788345,0.7854934754662193,0.10630145812734647,2,19,174,79,2,2,2,1,2,3,2,1,0
22,3,0.9395594445657054,2.7981496068329097,0.12071067811865475,0.7670790362698034,0.5884102478846104,1.6869575123575975,3.3649585116013396,0.4867366053171562,0.8830397327264315,0.7797591695735676,0.4738242268735579,0.7592759709091288,0.18867962264113208,2,19,174,79,2,2,2,1,2,3,2,1,0
22,4,1.0868827647945394,4.078963562576845,0.1007106781186548,0.8967036406103754,0.8040774190839013,1.717985786060514,4.204477475140414,0.4924283715202445,0.7931769842267592,0.6291297283070566,0.47161994794136586,0.8109870529176161,0.16031219541881395,2,19,174,79,2,2,2,1,2,3,2,1,0
23,1,0.5563012613329879,1.9374760607454973,0.10106343992275564,0.37092713915874825,0.1375869425644934,1.5990541722622018,3.25484038251026,0.1819830305219652,0.5649808524819003,0.3192033636711748,0.34839845824681,0.6447480127925949,0.07211102550927978,1,22,168,72,2,2,4,1,3,4,2,1,0
23,2,0.5872149950852897,1.886379666378088,0.10064495102245967,0.3637131860110574,0.13228728167831402,1.5959407463327882,3.201656346683864,0.08149618892466873,0.5754168573077617,0.33110455967394103,0.32712981337016045,0.6381222453417527,0.07071067811865478,1,22,168,72,2,2,4,1,3,4,2,1,0
23,3,0.5638537725263744,1.1898755635736884,0.10292528739883948,0.2948514911469508,0.08693740183158041,1.634433717412941,3.1078972160223772,0.7881333858097849,0.6027419495976432,0.36329785780476775,0.34752015774689127,0.6229767250869008,0.05830951894845302,1,22,168,72,2,2,4,1,3,4,2,1,0
23,4,0.5934916591028805,1.813575876260204,0.10000000000000007,0.39845445287511577,0.15876595101600785,1.6313155484289492,3.1008388342091475,0.5036140267098071,0.5711358821087005,0.32619619583208337,0.3448054284927251,0.644980619863884,0.09433981132056607,1,22,168,72,2,2,4,1,3,4,2,1,0
24,1,0.6551281233086826,2.014586446672938,0.10064495102245974,0.44664070223547553,0.1994879168933987,1.555631429302306,3.439904052490657,0.4715422234288666,0.6379538375985069,0.4069850989066621,0.37123020891905145,0.7169379331573968,0.09899494936611666,2,22,163,60,2,2,4,2,3,4,4,2,1
24,2,0.6747199927472157,2.155157958702028,0.10024579547452814,0.4344087630251249,0.1887109733930191,1.4264191376456121,3.5132661231763547,0.4310490820268439,0.5699995036047443,0.3248994341096548,0.344411732158726,0.72069410986909,0.09899494936611666,2,22,163,60,2,2,4,2,3,4,4,2,1
24,3,0.6080300558935527,1.8418169783545293,0.10478708664619077,0.4542704694890288,0.20636165944978266,1.4228180628309834,2.435332187813421,0.5265263246288348,0.5940114338262237,0.3528495835162861,0.36662351948593896,0.6236184731067546,0.15524174696260026,2,22,163,60,2,2,4,2,3,4,4,2,1
24,4,0.6681021572568145,1.9872674837440512,0.10071067811865478,0.43194763989711865,0.18657876361269088,1.4715814779932264,2.803741597876746,0.4908807869275685,0.5532264283564677,0.3060594810320539,0.3786705009817395,0.6868041933477111,0.1341640786499874,2,22,163,60,2,2,4,2,3,4,4,2,1
25,1,0.5855976406043351,2.182564770862744,0.1007106781186548,0.4172854905777852,0.17412718064674287,1.5325453518162828,3.1179089859716727,0.4691087190258145,0.5660047836908516,0.3203614151609277,0.38164978652928194,0.696419413859206,0.05,2,22,168,54,2,1,1,4,3,5,3,1,0
25,2,0.5650286520423768,2.257988067984812,0.1003261388731464,0.4027754094665905,0.16222803047097967,1.4957528052228761,3.1578996902165914,0.4979975170691268,0.5389917108010887,0.2905120643122844,0.3560908163112101,0.6926037828369118,0.04242640687119285,2,22,168,54,2,1,1,4,3,5,3,1,0
25,3,0.5987408453309006,2.073338006688358,0.10485281374238578,0.4978534459952729,0.24785805368936814,1.5683008132460086,2.838704772393453,0.5295596653655847,0.5931129425207364,0.3517829625856064,0.3706677584758956,0.6592419889539803,0.10630145812734647,2,22,168,54,2,1,1,4,3,5,3,1,0
25,4,0.6549071160186319,2.210988342408263,0.10071067811865483,0.464216983818054,0.2154974080651314,1.547708688324535,3.1269788845608137,0.5533316890581822,0.5727363209571659,0.3280268933435497,0.3720570791760805,0.6844705983459042,0.07211102550927978,2,22,168,54,2,1,1,4,3,5,3,1,0
26,1,0.5524289101030851,1.8575999502817888,0.1007106781186548,0.3879858593570192,0.15053302706100466,1.5531718565599844,2.9401362967139972,0.4698459030788663,0.576960952606302,0.3328839408323714,0.3557352608521842,0.6555150646628954,0.07071067811865474,1,22,180,75,2,2,2,2,3,5,1,2,0
26,2,0.5854340112012796,1.8069656039081097,0.10146264369941976,0.3978731317331163,0.15830302895511772,1.5475682182424375,3.668534875841471,0.4414931330654862,0.5911727384098143,0.3494852066389587,0.33471307457231547,0.6512296062065973,0.07071067811865478,1,22,180,75,2,2,2,2,3,5,1,2,0
26,3,0.4654478314463206,1.0564696129958435,0.10714776642118867,0.2841792169909941,0.0807578273696145,1.4864913305866974,2.9696960392228617,0.5857663080967026,0.5470630880966592,0.2992780223578531,0.368749238760415,0.6527633568147034,0.08544003745317531,1,22,180,75,2,2,2,2,3,5,1,2,0
26,4,0.6310278164366223,1.8884861979168928,0.10059855727862904,0.41579120895866134,0.17288232944730517,1.5369121147476468,3.4375809129919124,0.48775460904857704,0.5557390455412335,0.3088458867390812,0.35233397989605175,0.6529931086925803,0.07071067811865478,1,22,180,75,2,2,2,2,3,5,1,2,0
27,1,0.5080146609212327,1.000306229458831,0.10146264369941974,0.21923184131570778,0.04806260024667568,1.5286564828938005,2.518658485611622,0.5009933793985833,0.3147570635216213,0.09907200903675396,0.35319101167021755,0.6191122676865642,0.06999999999999999,1,20,176,69,2,3,2,2,3,4,3,1,1
27,2,0.49707185289435407,1.0945089436673168,0.10242640687119248,0.21297379429582824,0.04535783705676177,1.4363613782874367,2.112951628701384,0.5505745995076979,0.268135138982442,0.07189645275713351,0.317709720922557,0.620322496770833,0.08544003745317533,1,20,176,69,2,3,2,2,3,4,3,1,1
