uid,side,event,trial,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
57,left,2,3,0.2238062535772074,0.5225239003253056,0.10242640687119264,0.09512826651553652,0.009049387090250946,1.0742999361065315,1.4473906946730142,0.8265248859026262,0.1559060482038465,0.024306695866540103,0.42140351882053734,0.6735725647619565,0.15620499351813313,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,2,3,0.2242868916835027,0.5555535395260167,0.1007106781186548,0.11796134847664581,0.013914879734428669,1.111497384651695,1.6941113938045478,0.8459708691207966,0.17332126544907556,0.030040261056868908,0.42140351882053734,0.6735725647619565,0.15620499351813313,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,3,1,0.3902689626903324,0.5350401606158193,0.2454977647648455,0.20473739154722326,0.041917399497561,1.2224696016410126,1.2923675377193702,1.152571665562655,0.09885060918390097,0.009771442936028328,0.4247169553602039,0.5818075283115542,0.28600699292150183,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,3,1,0.2817638012076949,0.4095036483716157,0.1995277795485509,0.07972136734786556,0.006355496411813325,1.386417908276095,1.9069623448197035,1.1710759472187957,0.29961794156897814,0.0897709109100316,0.4247169553602039,0.5818075283115542,0.28600699292150183,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,3,2,0.2925276403988626,0.5184157095025532,0.1142418123747134,0.15345826003819937,0.023549437573951615,1.271490659463762,1.6562802220528858,1.040903952799541,0.2001912212438497,0.04007652506310398,0.42939811304967057,0.6171709649683791,0.25079872407968906,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,3,2,0.2192444730408198,0.3983467706087613,0.10071067811865476,0.13363977149059947,0.017859588524059646,1.1341367984201072,1.6528911643517066,0.8879297679488724,0.30703280958027346,0.09426914615875645,0.42939811304967057,0.6171709649683791,0.25079872407968906,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,3,3,0.2733851043035713,0.3236286277101714,0.18251407699364425,0.07884335521172961,0.006216274661042971,1.6216570674549906,1.8251407699364417,1.3049541439926269,0.27796128408889265,0.07726247545234607,0.42132940253361895,0.5768882040742384,0.30413812651491096,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,3,3,0.2836655914358413,0.5564760634644121,0.1038233234744176,0.1557500956748195,0.02425809230271543,1.2116236173730879,1.5413039314395245,0.9794653157963926,0.17645494647408733,0.031136348135173027,0.42132940253361895,0.5768882040742384,0.30413812651491096,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,4,1,0.27348539244538544,0.6197954698206027,0.10071067811865476,0.11352570904351379,0.012888086613832549,1.2457183956635927,2.053088918273535,0.9066645715418764,0.2456020903529868,0.06032038678575669,0.441745342516235,0.6801470429252781,0.2831960451701259,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,4,1,0.26277021826205943,0.6023068021064356,0.10242640687119288,0.12664128466772348,0.016038014982291376,1.395122809417293,2.574323265678141,0.882986266130973,0.40862933073089325,0.16697792993357774,0.441745342516235,0.6801470429252781,0.2831960451701259,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,4,2,0.22727701220393245,0.4887052890470201,0.1038890505706126,0.10059472724892707,0.01011929915028603,1.1454449983883712,1.5931996615740922,0.7288903316594161,0.18518589897137352,0.034293817177835764,0.4868448431023975,0.7093659140387278,0.19,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,4,2,0.27420510694297595,0.5577410416714148,0.10009967675098226,0.13713469420549093,0.01880592435483351,1.2178265952395013,1.9791562837994103,0.9291438584396108,0.23171144630106655,0.05369019434693205,0.4868448431023975,0.7093659140387278,0.19,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,4,3,0.2674623141240421,0.5892135278885849,0.10692130429902467,0.14008031207030555,0.019622493829714188,1.1867601262516039,2.0968452949771703,0.8088235294117649,0.2492857366352178,0.062143378489763174,0.4412078592275805,0.65,0.1984943324127921,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,4,3,0.2860627757802408,0.6140100682241465,0.10828427124746193,0.13220013073077252,0.01747687456523335,1.2186861695047662,1.6263584659212391,0.8593989781544599,0.19035121646870298,0.036233585611115025,0.4412078592275805,0.65,0.1984943324127921,2,22,159,48,2,1,1,1,3,5,3,2,0
