,Unnamed: 0,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max
197,Unnamed: 0197,event2,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
198,Unnamed: 0198,event3,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
199,Unnamed: 0199,event4,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
200,Unnamed: 0200,event1,age1,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
201,Unnamed: 0201,event2,age1,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
202,Unnamed: 0202,event3,age1,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
203,Unnamed: 0203,event4,age1,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
204,Unnamed: 0204,event1,age1,height2,weight0,VR_exp0,sport_fre1,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
205,Unnamed: 0205,event2,age1,height2,weight0,VR_exp0,sport_fre1,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
206,Unnamed: 0206,event3,age1,height2,weight0,VR_exp0,sport_fre1,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
207,Unnamed: 0207,event4,age1,height2,weight0,VR_exp0,sport_fre1,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
208,Unnamed: 0208,event1,age1,height0,weight0,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
209,Unnamed: 0209,event2,age1,height0,weight0,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
210,Unnamed: 0210,event3,age1,height0,weight0,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
211,Unnamed: 0211,event4,age1,height0,weight0,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
212,Unnamed: 0212,event1,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
213,Unnamed: 0213,event2,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
214,Unnamed: 0214,event3,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
215,Unnamed: 0215,event4,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
216,Unnamed: 0216,event1,age1,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
217,Unnamed: 0217,event2,age1,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
218,Unnamed: 0218,event3,age1,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
219,Unnamed: 0219,event4,age1,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
220,Unnamed: 0220,event1,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
221,Unnamed: 0221,event2,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
