,Unnamed: 0,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
220,220,1,1,1,1,0,1,0,0,0,1,1,1,1,1,3.0,3.0,3.0,3.0
221,221,2,1,1,1,0,1,0,0,0,1,1,1,1,1,2.0,2.0,3.0,2.0
222,222,3,1,1,1,0,1,0,0,0,1,1,1,1,1,1.0,2.0,2.0,2.0
223,223,4,1,1,1,0,1,0,0,0,1,1,1,1,1,3.0,3.0,3.0,2.0
224,224,1,1,1,1,1,1,0,0,0,1,1,1,1,1,3.0,3.0,3.0,3.0
225,225,2,1,1,1,1,1,0,0,0,1,1,1,1,1,3.0,3.0,3.0,1.0
226,226,3,1,1,1,1,1,0,0,0,1,1,1,1,1,3.0,3.0,3.0,2.0
227,227,4,1,1,1,1,1,0,0,0,1,1,1,1,1,3.0,3.0,3.0,3.0
228,228,1,0,1,1,1,1,1,1,0,0,1,0,0,1,3.0,3.0,1.0,1.0
229,229,2,0,1,1,1,1,1,1,0,0,1,0,0,1,3.0,3.0,1.0,0.0
230,230,3,0,1,1,1,1,1,1,0,0,1,0,0,1,3.0,3.0,1.0,1.0
231,231,4,0,1,1,1,1,1,1,0,0,1,0,0,1,3.0,3.0,1.0,1.0
